,Entity,Year,Records Lost,Organisation,Method of Leak,Data Sensitivity
86,Massachusetts Government,2011,210000,government,hacked,Full Bank account Details
87,Southern California Medical-Legal Consultants,2011,300000,healthcare,hacked,SSN/Personal Details
88,Honda Canada,2011,283000,retail,hacked,SSN/Personal Details
89,Citigroup,2011,360083,financial,hacked,Credit Card Information
90,Spartanburg Regional Healthcare System,2011,400000,healthcare,lost / stolen device,E-mail Password or Health Records
91,Eisenhower Medical Center,2011,514330,healthcare,lost / stolen device,E-mail Password or Health Records
92,Stratfor,2011,935000,military,hacked,Credit Card Information
93,Sony Pictures,2011,1000000,web,hacked,E-mail Address or Online Information
94,Oregon Department of Motor Vehicles,2011,1000000,government,hacked,SSN/Personal Details
95,Nemours Foundation,2011,1055489,healthcare,lost / stolen device,E-mail Password or Health Records
96,Sega,2011,1290755,gaming,hacked,SSN/Personal Details
97,Washington Post,2011,1270000,media,hacked,SSN/Personal Details
98,Health Net - IBM,2011,1900000,healthcare,lost / stolen device,Credit Card Information
99,Countrywide Financial Corp,2011,2500000,financial,inside job,SSN/Personal Details
100,State of Texas,2011,3500000,government,accidentally published,SSN/Personal Details
101,Sutter Medical Foundation,2011,4243434,healthcare,lost / stolen device,SSN/Personal Details
102,Tricare,2011,4901432,"military, healthcare",lost / stolen device,E-mail Password or Health Records
103,China Software Developer Network,2011,6000000,web,hacked,E-mail Address or Online Information
104,NHS,2011,8300000,healthcare,lost / stolen device,E-mail Password or Health Records
105,178.com,2011,10000000,web,hacked,E-mail Address or Online Information
106,Nexon Korea Corp,2011,13200000,web,hacked,SSN/Personal Details
107,Sony Online Entertainment,2011,24600000,gaming,hacked,Credit Card Information
108,Tianya,2011,28000000,web,hacked,E-mail Address or Online Information
109,Steam,2011,35000000,web,hacked,Credit Card Information
110,Sony PSN,2011,77000000,gaming,hacked,E-mail Address or Online Information
111,Dropbox,2012,30000,web,hacked,E-mail Address or Online Information
112,Militarysingles.com,2012,163792,"web, military",hacked,E-mail Address or Online Information
113,South Carolina Government,2012,6400000,healthcare,inside job,E-mail Password or Health Records
114,Emory Healthcare,2012,315000,healthcare,lost / stolen device,E-mail Password or Health Records
115,Formspring,2012,420000,web,hacked,E-mail Address or Online Information
116,Yahoo Voices,2012,450000,"tech, web",hacked,E-mail Address or Online Information
117,Medicaid,2012,780000,"government, healthcare",hacked,SSN/Personal Details
118,California Department of Child Support Services,2012,800000,government,lost / stolen device,SSN/Personal Details
119,Global Payments,2012,7000000,financial,hacked,Credit Card Information
120,New York State Electric & Gas,2012,1800000,energy,inside job,SSN/Personal Details
121,Three Iranian banks,2012,3000000,financial,hacked,Full Bank account Details
122,Office of the Texas Attorney General,2012,6500000,government,accidentally published,SSN/Personal Details
123,"LinkedIn, eHarmony, Last.fm",2012,8000000,web,hacked,E-mail Address or Online Information
124,Gamigo,2012,8000000,web,hacked,E-mail Address or Online Information
125,KT Corp.,2012,8700000,telecoms,hacked,SSN/Personal Details
126,Greek government,2012,9000000,government,hacked,SSN/Personal Details
127,"""Apple""",2012,12367232,"tech, retail",accidentally published,SSN/Personal Details
128,Blizzard,2012,14000000,gaming,hacked,SSN/Personal Details
129,Zappos,2012,24000000,web,hacked,SSN/Personal Details
130,Last.fm,2012,43500000,web,hacked,E-mail Address or Online Information
131,Dropbox,2012,68700000,web,hacked,E-mail Address or Online Information
132,Massive American business hack,2012,160000000,financial,hacked,Full Bank account Details
133,Court Ventures,2012,200000000,financial,inside job,SSN/Personal Details
134,LinkedIn,2012,117000000,web,hacked,E-mail Address or Online Information
135,South Carolina State Dept. of Revenue,2012,3600000,government,hacked,Credit Card Information
136,Central Hudson Gas & Electric,2013,110000,energy,hacked,Credit Card Information
